1.649381844683222e-002	3.995290e+000
1.650789296714946e-002	3.992324e+000
1.651883956900663e-002	3.956531e+000
1.653650479914728e-002	3.840053e+000
1.655603604914728e-002	3.636988e+000
1.657556729914728e-002	3.374436e+000
1.661462979914728e-002	2.772213e+000
1.663416104914728e-002	2.488783e+000
1.665369229914728e-002	2.253094e+000
1.667322354914728e-002	2.087157e+000
1.668376602249317e-002	2.032337e+000
1.668985653533698e-002	2.012667e+000
1.669713655412251e-002	2.001011e+000
1.670493510364445e-002	2.003003e+000
1.671403281596473e-002	2.024196e+000
1.672877866676981e-002	2.100448e+000
1.674830991676981e-002	2.274373e+000
1.676784116676981e-002	2.516062e+000
1.678737241676981e-002	2.802944e+000
1.682643491676981e-002	3.403408e+000
1.684596616676981e-002	3.660913e+000
1.686549741676981e-002	3.856697e+000
1.688081771618445e-002	3.954947e+000
1.689445150685931e-002	3.996204e+000
1.691075617934316e-002	3.985761e+000
1.692348237745533e-002	3.932739e+000
1.694301362745533e-002	3.780297e+000
1.696254487745533e-002	3.554984e+000
1.698207612745533e-002	3.277843e+000
1.702113862745533e-002	2.674023e+000
1.704066987745533e-002	2.403735e+000
1.706020112745533e-002	2.189130e+000
1.707973237745533e-002	2.050251e+000
1.708682999394861e-002	2.021322e+000
1.709347413518674e-002	2.005249e+000
1.710593325956388e-002	2.004340e+000
1.711565584188861e-002	2.030087e+000
1.713139384572330e-002	2.119146e+000
1.715092509572330e-002	2.303243e+000
1.717045634572330e-002	2.552408e+000
1.718998759572330e-002	2.843373e+000
1.722905009572330e-002	3.440646e+000
1.724858134572330e-002	3.691175e+000
1.726811259572330e-002	3.877157e+000
1.728182754446970e-002	3.959534e+000
1.729536638854579e-002	3.997352e+000
1.731295937307854e-002	3.979352e+000
1.732704586696717e-002	3.911107e+000
1.734657711696717e-002	3.744085e+000
1.736610836696717e-002	3.507576e+000
1.738563961696717e-002	3.223664e+000
1.742470211696717e-002	2.621644e+000
1.744423336696717e-002	2.359756e+000
1.746376461696717e-002	2.157659e+000
1.748014011565550e-002	2.048266e+000
1.748713461806258e-002	2.020350e+000
1.749384057448341e-002	2.004677e+000
1.750120184186543e-002	2.000178e+000
1.750795693652632e-002	2.007801e+000
1.751894342050255e-002	2.043946e+000
1.753667105048048e-002	2.161367e+000
1.755620230048048e-002	2.365028e+000
1.757573355048048e-002	2.627987e+000
1.761479605048048e-002	3.230329e+000
1.763432730048048e-002	3.513460e+000
1.765385855048048e-002	3.748640e+000
1.767338980048048e-002	3.913906e+000
1.768990360914204e-002	3.987450e+000
1.770495644408676e-002	3.996971e+000
1.771406752455936e-002	3.975685e+000
1.772883465445313e-002	3.899167e+000
1.774836590445313e-002	3.725022e+000
1.776789715445313e-002	3.483169e+000
1.778742840445313e-002	3.196193e+000
1.782649090445313e-002	2.595787e+000
1.784602215445313e-002	2.338427e+000
1.786555340445313e-002	2.142850e+000
1.788083949044816e-002	2.044951e+000
1.788765784413809e-002	2.018734e+000
1.789447117879038e-002	2.003769e+000
1.790294559668498e-002	2.001070e+000
1.791079570936552e-002	2.014344e+000
1.792354638995406e-002	2.067624e+000
1.794307763995406e-002	2.220333e+000
1.796260888995406e-002	2.445853e+000
1.798214013995406e-002	2.723124e+000
1.802120263995406e-002	3.326927e+000
1.804073388995406e-002	3.597072e+000
1.806026513995406e-002	3.811458e+000
1.807979638995406e-002	3.950063e+000
1.809353160433211e-002	3.994843e+000
1.810706363941409e-002	3.993851e+000
1.811749275400497e-002	3.962486e+000
1.813434599006984e-002	3.857963e+000
1.815387724006984e-002	3.662757e+000
1.817340849006984e-002	3.405658e+000
1.821247099006984e-002	2.805357e+000
1.823200224006984e-002	2.518215e+000
1.825153349006984e-002	2.276067e+000
1.827106474006984e-002	2.101526e+000
1.828295198862984e-002	2.035642e+000
1.828924352277992e-002	2.014240e+000
1.829639104634203e-002	2.001606e+000
1.830465740445568e-002	2.002675e+000
1.831358112831972e-002	2.022669e+000
1.832804982445929e-002	2.095506e+000
1.834758107445929e-002	2.266542e+000
1.836711232445929e-002	2.506075e+000
1.838664357445929e-002	2.791734e+000
1.842570607445929e-002	3.392906e+000
1.844523732445929e-002	3.652278e+000
1.846476857445929e-002	3.850735e+000
1.848053359350440e-002	3.953613e+000
1.849419504354051e-002	3.995846e+000
1.851024076573704e-002	3.987090e+000
1.852264751432884e-002	3.937387e+000
1.854217876432884e-002	3.788431e+000
1.856171001432884e-002	3.565845e+000
1.858124126432884e-002	3.290416e+000
1.862030376432884e-002	2.686449e+000
1.863983501432884e-002	2.414313e+000
1.865936626432884e-002	2.196874e+000
1.867889751432884e-002	2.054437e+000
1.868620725135237e-002	2.023378e+000
1.869271356910082e-002	2.006543e+000
1.869920028959169e-002	2.000079e+000
1.870570274924556e-002	2.004009e+000
1.871528110214642e-002	2.028670e+000
1.873079056672932e-002	2.114700e+000
1.875032181672932e-002	2.296477e+000
1.876985306672932e-002	2.543954e+000
1.878938431672932e-002	2.834021e+000
1.882844681672932e-002	3.432119e+000
1.884797806672932e-002	3.684296e+000
1.886750931672932e-002	3.872567e+000
1.888159584765687e-002	3.958503e+000
1.889515602053100e-002	3.997107e+000
1.891283156815632e-002	3.979756e+000
1.892683940167939e-002	3.912438e+000
1.894637065167939e-002	3.746248e+000
1.896590190167939e-002	3.510367e+000
1.898543315167939e-002	3.226824e+000
1.902449565167939e-002	2.624648e+000
1.904402690167939e-002	2.362251e+000
1.906355815167939e-002	2.159411e+000
1.908005888146287e-002	2.048658e+000
1.908707390253489e-002	2.020542e+000
1.909376749667162e-002	2.004788e+000
1.910107208878687e-002	2.000142e+000
1.910774567019960e-002	2.007392e+000
1.911860041990266e-002	2.042380e+000
1.913612183799484e-002	2.156699e+000
1.915565308799484e-002	2.358387e+000
1.917518433799484e-002	2.619993e+000
1.921424683799483e-002	3.221925e+000
1.923377808799483e-002	3.506038e+000
1.925330933799483e-002	3.742893e+000
1.927284058799483e-002	3.910370e+000
1.928974803399022e-002	3.987062e+000
1.930488592432959e-002	3.997056e+000
1.931395282825360e-002	3.976078e+000
1.932864963043459e-002	3.900435e+000
1.934818088043459e-002	3.727021e+000
1.936771213043459e-002	3.485711e+000
1.938724338043459e-002	3.199042e+000
1.942630588043459e-002	2.598447e+000
1.944583713043459e-002	2.340609e+000
1.946536838043459e-002	2.144351e+000
1.948076750495098e-002	2.045287e+000
1.948760394808644e-002	2.018898e+000
1.949440615298856e-002	2.003858e+000
1.950286531632454e-002	2.001013e+000
1.951066503989363e-002	2.014000e+000
1.952333478194235e-002	2.066428e+000
1.954286603194235e-002	2.218256e+000
1.956239728194235e-002	2.443089e+000
1.958192853194235e-002	2.719931e+000
1.962099103194235e-002	3.323784e+000
1.964052228194235e-002	3.594403e+000
1.966005353194235e-002	3.809511e+000
1.967958478194235e-002	3.949021e+000
1.969334171226216e-002	3.994536e+000
1.970582911922148e-002	3.995811e+000
1.971548654726317e-002	3.970557e+000
1.973112134617450e-002	3.882872e+000
1.975065259617450e-002	3.699821e+000
1.977018384617450e-002	3.451416e+000
1.982877759617450e-002	2.563201e+000
1.984830884617450e-002	2.311924e+000
1.986784009617450e-002	2.124906e+000
1.988172297541579e-002	2.040929e+000
1.988832006828728e-002	2.016783e+000
1.989527141244235e-002	2.002757e+000
1.990423974049578e-002	2.002217e+000
1.991290167926781e-002	2.020465e+000
1.992695266824123e-002	2.088291e+000
1.994648391824123e-002	2.254937e+000
1.996601516824123e-002	2.491164e+000
1.998554641824123e-002	2.774909e+000
2.000000000000000e-002	3.000000e+000
